Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,17477.48828125,17594.0551823159,17345.38017951664,17345.38017951664,10416,17345.38017951664
2015-01-02,17554.521484375,17732.493368414027,17442.357102667695,17442.357102667695,12616,17442.357102667695
2015-01-05,17730.791015625,17844.79607674186,17500.755992810587,17500.755992810587,14811,17500.755992810587
2015-01-06,17239.0546875,17653.48556187551,17150.38368326735,17553.4933616301,21643,17553.4933616301
2015-01-07,17210.30859375,17320.183168828626,16979.690953413614,17268.974577064364,13903,17268.974577064364
2015-01-08,17625.544921875,17653.48469174884,17262.727980558444,17262.727980558444,16732,17262.727980558444
2015-01-09,17474.078125,17720.86688489112,17394.029611524802,17662.560614521382,11213,17662.560614521382
2015-01-12,18261.0234375,18315.60099970789,17460.327926096183,17725.354771385526,32456,17725.354771385526
2015-01-13,18330.470703125,18672.264802254664,18157.483829790657,18327.280695053654,37481,18327.280695053654
2015-01-14,18853.697265625,18867.21883047493,18238.790680771715,18239.23987887729,36893,18239.23987887729
2015-01-15,19167.1015625,19286.003933825505,18812.41408504188,19135.8366767618,45461,19135.8366767618
2015-01-16,19263.0078125,19480.823270092733,19001.483274005703,19180.758938225412,17239,19180.758938225412
2015-01-19,19319.96484375,19476.780603829025,19140.331223717214,19140.331223717214,8870,19140.331223717214
2015-01-20,19343.052734375,19427.861678873956,19270.642358179884,19364.92832891845,12152,19364.92832891845
2015-01-21,19440.080078125,19656.90763660836,19045.99825850536,19495.196330639916,36699,19495.196330639916
2015-01-22,19474.89453125,19629.957367574545,19342.830287175242,19533.828972227613,18159,19533.828972227613
2015-01-23,19615.802734375,19763.54325373436,19399.064700796196,19669.481895023015,19476,19669.481895023015
2015-01-27,20712.4765625,21089.399349922664,19446.771561920992,19586.831865514232,62349,19586.831865514232
2015-01-28,20926.1640625,21137.016952327514,20663.248059195532,20712.52474066139,25647,20712.52474066139
2015-01-29,21055.888671875,21550.725952649726,20865.114608268497,20995.517154970155,26404,20995.517154970155
2015-01-30,21403.66015625,21551.625300683503,21067.389774522828,21274.020889582116,24924,21274.020889582116
2015-02-02,22437.037109375,22585.137342905116,21383.53266153807,21403.65708339934,41833,21403.65708339934
2015-02-03,22037.97265625,23268.28237300661,21921.046041037887,22540.760435554203,47303,22540.760435554203
2015-02-04,21161.18359375,22280.22553840416,21022.470870913603,22228.118559322407,31880,22228.118559322407
2015-02-05,21228.609375,21525.620590289276,20936.405983575205,21202.152306303426,25717,21202.152306303426
2015-02-06,20698.95703125,21363.85964599965,20447.54122903489,21291.987956694353,26572,21291.987956694353
2015-02-09,20086.96875,20887.70991855624,20016.311298471068,20601.032065835825,26755,20601.032065835825
2015-02-10,20676.451171875,20939.09692129135,19764.714238930148,20087.23843946542,47486,20087.23843946542
2015-02-11,21299.26953125,21520.00656079412,20708.035261551486,20788.890930685528,48419,20788.890930685528
2015-02-12,22784.4921875,23237.103059572153,22032.264481455735,22032.264481455735,187847,22032.264481455735
2015-02-13,22411.794921875,23896.61922421653,22082.623961754012,23087.883676221456,160312,23087.883676221456
2015-02-16,23002.626953125,23246.002846910425,22208.534160976054,22393.424810129054,52493,22393.424810129054
2015-02-18,24362.435546875,24391.45444316738,22145.46416294939,23358.298914267103,100841,23358.298914267103
2015-02-19,23539.642578125,24615.068472043884,23309.11445967443,24435.47871724824,111134,24435.47871724824
2015-02-20,23860.640625,24077.019006440885,22909.103905382188,23604.911786743694,51765,23604.911786743694
2015-02-23,23464.4921875,24077.019451385295,23314.326658359845,24077.019451385295,53236,24077.019451385295
2015-02-24,23820.1640625,23942.256445365634,23287.325678060886,23554.149323999856,66444,23554.149323999856
2015-02-25,23614.83984375,23894.644649114347,23475.992003835283,23894.644649114347,49608,23894.644649114347
2015-02-26,23387.861328125,23623.33064680398,23152.57098683344,23623.33064680398,101052,23623.33064680398
2015-02-27,23887.72265625,24286.250790793623,22981.869222391935,23672.73578085405,839405,23672.73578085405
2015-03-02,23270.658203125,23533.48467100194,23022.29731548371,23259.473874107283,70096,23259.473874107283
2015-03-03,23588.291015625,23786.297892301565,22955.460370988254,23268.46196315842,49786,23268.46196315842
2015-03-04,23461.708984375,23803.010091443895,23314.461479108402,23627.82281203904,25358,23627.82281203904
2015-03-05,23993.2890625,24166.858511723298,23487.67096395888,23627.82077540233,93844,23627.82077540233
2015-03-09,23639.361328125,24216.266731239244,23479.58193362781,23897.336117639174,50051,23897.336117639174
2015-03-10,23857.08984375,24044.675670415883,23607.20234681679,23677.23162807542,41472,23677.23162807542
2015-03-11,23752.162109375,24098.58338660304,23584.700680923914,23972.80789919906,54289,23972.80789919906
2015-03-12,24516.91796875,24610.665260360478,23681.723598711476,23681.723598711476,26685,23681.723598711476
2015-03-13,23910.365234375,24749.063693655604,23830.586951379442,24655.584868856735,43832,24655.584868856735
2015-03-16,23558.734375,24083.26267512878,23448.142147455128,24076.121126806513,44890,24076.121126806513
2015-03-17,23899.5859375,23977.297212139365,23659.31056535705,23659.31056535705,31973,23659.31056535705
2015-03-18,24540.861328125,24696.641828686847,23810.284470348142,23976.398282104048,51794,23976.398282104048
