
Sub-module                                       Trainable   Non-trainable
==========================================================================
  matches.revin                                         32               0
  matches.att_dicem.input_proj                       3,264               0
  matches.att_dicem.conv_layers.0.depthwise.conv          768               0
  matches.att_dicem.conv_layers.0.pointwise         37,056               0
  matches.att_dicem.conv_layers.1.depthwise.conv          768               0
  matches.att_dicem.conv_layers.1.pointwise         37,056               0
  matches.att_dicem.conv_layers.2.depthwise.conv          768               0
  matches.att_dicem.conv_layers.2.pointwise         37,056               0
  matches.att_dicem.conv_layers.3.depthwise.conv          768               0
  matches.att_dicem.conv_layers.3.pointwise         37,056               0
  matches.att_dicem.conv_layers.4.depthwise.conv          768               0
  matches.att_dicem.conv_layers.4.pointwise         37,056               0
  matches.att_dicem.layer_norms.0                      384               0
  matches.att_dicem.layer_norms.1                      384               0
  matches.att_dicem.layer_norms.2                      384               0
  matches.att_dicem.layer_norms.3                      384               0
  matches.att_dicem.layer_norms.4                      384               0
  matches.att_dicem.attention_gate.0                37,056               0
  matches.att_dicem.output_proj                     37,056               0
  matches.regime_embed.net.0                           160               0
  matches.regime_embed.net.1                            64               0
  matches.regime_embed.net.3                           528               0
  matches.regime_proj                               40,128               0
  matches.mrt.blocks.0.attention.W_q                37,056               0
  matches.mrt.blocks.0.attention.W_k                37,056               0
  matches.mrt.blocks.0.attention.W_v                37,056               0
  matches.mrt.blocks.0.attention.W_o                37,056               0
  matches.mrt.blocks.0.ffn.0                       148,224               0
  matches.mrt.blocks.0.ffn.3                       147,648               0
  matches.mrt.blocks.0.norm1                           384               0
  matches.mrt.blocks.0.norm2                           384               0
  matches.mrt.blocks.1.attention.W_q                37,056               0
  matches.mrt.blocks.1.attention.W_k                37,056               0
  matches.mrt.blocks.1.attention.W_v                37,056               0
  matches.mrt.blocks.1.attention.W_o                37,056               0
  matches.mrt.blocks.1.ffn.0                       148,224               0
  matches.mrt.blocks.1.ffn.3                       147,648               0
  matches.mrt.blocks.1.norm1                           384               0
  matches.mrt.blocks.1.norm2                           384               0
  matches.mrt.blocks.2.attention.W_q                37,056               0
  matches.mrt.blocks.2.attention.W_k                37,056               0
  matches.mrt.blocks.2.attention.W_v                37,056               0
  matches.mrt.blocks.2.attention.W_o                37,056               0
  matches.mrt.blocks.2.ffn.0                       148,224               0
  matches.mrt.blocks.2.ffn.3                       147,648               0
  matches.mrt.blocks.2.norm1                           384               0
  matches.mrt.blocks.2.norm2                           384               0
  matches.mrt.final_norm                               384               0
  matches.moe.experts.0.0                           49,408               0
  matches.moe.experts.0.1                              512               0
  matches.moe.experts.0.3                           49,344               0
  matches.moe.experts.0.4                              384               0
  matches.moe.experts.1.0                           49,408               0
  matches.moe.experts.1.1                              512               0
  matches.moe.experts.1.3                           49,344               0
  matches.moe.experts.1.4                              384               0
  matches.moe.experts.2.0                           49,408               0
  matches.moe.experts.2.1                              512               0
  matches.moe.experts.2.3                           49,344               0
  matches.moe.experts.2.4                              384               0
  matches.moe.gate.0                                13,376               0
  matches.moe.gate.2                                   195               0
  diffusion.denoiser.time_proj                      33,024               0
  diffusion.denoiser.input_proj                     49,664               0
  diffusion.denoiser.mlp.1                          65,792               0
  diffusion.denoiser.mlp.4                          32,896               0
  diffusion.denoiser.output_proj                       129               0
==========================================================================
  TOTAL                                          2,138,324               0

Model size (fp32): 8.2 MB
